A̱o,Trimestre,Mes,URL
2020,Cuarto,Noviembre,https://violenciagenero.igualdad.gob.es/sensibilizacionConcienciacion/campannas/violenciaGobierno/LaViolenciaQueNoVes/home.htm
2021,Cuarto,Noviembre,https://violenciagenero.igualdad.gob.es/sensibilizacionConcienciacion/campannas/violenciaGobierno/Juntas/vgenero.htm
2021,Cuarto,Noviembre,https://violenciagenero.igualdad.gob.es/sensibilizacionConcienciacion/campannas/violenciaGobierno/BuenosTratos/vgenero.htm
2021,Cuarto,Octubre,https://violenciagenero.igualdad.gob.es/sensibilizacionConcienciacion/campannas/violenciaGobierno/CeroDieciseis/vgenero.htm
2021,Segundo,Mayo,https://violenciagenero.igualdad.gob.es/sensibilizacionConcienciacion/campannas/violenciaGobierno/ElSexoEsunSi/home.htm
2021,Segundo,Abril,https://violenciagenero.igualdad.gob.es/sensibilizacionConcienciacion/campannas/violenciaGobierno/MachismoEsViolencia/home.htm
2021,Primero,Marzo,https://www.mitele.es/programas-tv/rocio-contar-la-verdad-para-seguir-viva/
2022,Cuarto,Noviembre,https://violenciagenero.igualdad.gob.es/sensibilizacionConcienciacion/campannas/violenciaGobierno/entoncesqui/vgenero.htm
2022,Tercero,Agosto,https://violenciagenero.igualdad.gob.es/sensibilizacionConcienciacion/campannas/violenciaGobierno/vivas_libres/vgenero.htm
2023,Tercero,Julio,https://violenciagenero.igualdad.gob.es/sensibilizacionConcienciacion/campannas/violenciaGobierno/ESTARVIVAESPA/vgeneroImg.htm
